symbol,value
Ÿ,0
š,1
š,2
ˆ,3
ž,4
™,5
Š,6
ƒ,7
†,8
–,9
‹,10
Š,11
’,12
œ,13
…,14
š,15
š,16
Ÿ,17
…,18
™,19
Š,20
•,21
…,22
’,23
„,24
—,25
˜,26
Ÿ,27
—,28
Œ,29
•,30
‘,31
˜,32
€,33
†,34
‹,35
”,36
“,37
Œ,38
™,39
†,40
†,41
ž,42
Œ,43
Œ,44
š,45
š,46
‚,47
•,48
€,49
Œ,50
‘,51
›,52
ˆ,53
–,54
Ž,55
–,56
€,57
—,58
‚,59
˜,60
”,61
›,62
Ÿ,63
‘,64
›,65
€,66
”,67
ƒ,68
ƒ,69
Œ,70
’,71
Œ,72
”,73
—,74
Œ,75
Œ,76
Š,77
„,78
Ž,79
Š,80
‡,81
—,82
›,83
„,84
ƒ,85
Œ,86
Š,87
—,88
ƒ,89
Š,90
‹,91
†,92
€,93
Œ,94
—,95
€,96
‘,97
–,98
ƒ,99
Ž,100
‚,101
œ,102
—,103
‘,104
Ž,105
•,106
›,107
˜,108
…,109
ž,110
Š,111
Œ,112
ž,113
•,114
†,115
™,116
—,117
Š,118
’,119
™,120
ƒ,121
Š,122
Š,123
—,124
‰,125
™,126
•,127
’,128
Ÿ,129
œ,130
“,131
—,132
Š,133
•,134
“,135
˜,136
‰,137
‰,138
‹,139
›,140
ž,141
™,142
’,143
”,144
ž,145
’,146
†,147
•,148
€,149
‹,150
‰,151
Ÿ,152
ž,153
ž,154
•,155
„,156
‚,157
‰,158
–,159
š,160
€,161
š,162
•,163
™,164
–,165
œ,166
Ž,167
Š,168
ƒ,169
œ,170
†,171
€,172
…,173
˜,174
‹,175
‹,176
•,177
“,178
ƒ,179
Ž,180
Ÿ,181
€,182
‰,183
Ž,184
•,185
•,186
‚,187
‹,188
Ž,189
‚,190
š,191
ž,192
ƒ,193
—,194
‹,195
ˆ,196
€,197
ž,198
„,199
›,200
Ž,201
”,202
‰,203
‹,204
ƒ,205
Š,206
›,207
€,208
•,209
„,210
’,211
—,212
š,213
™,214
ˆ,215
š,216
—,217
…,218
„,219
ˆ,220
Ž,221
“,222
Ž,223
„,224
Ÿ,225
–,226
€,227
’,228
‚,229
ž,230
–,231
›,232
„,233
—,234
ˆ,235
†,236
—,237
—,238
‰,239
–,240
‘,241
ƒ,242
•,243
•,244
”,245
„,246
‹,247
›,248
Ž,249
”,250
‰,251
ˆ,252
Ÿ,253
‘,254
€,255
˜,256
—,257
Ž,258
“,259
ˆ,260
›,261
„,262
“,263
„,264
‹,265
†,266
”,267
„,268
”,269
“,270
…,271
Œ,272
€,273
•,274
™,275
•,276
†,277
‹,278
ˆ,279
”,280
‹,281
‘,282
”,283
“,284
—,285
‘,286
•,287
Š,288
ˆ,289
Ÿ,290
„,291
š,292
‡,293
•,294
“,295
™,296
•,297
™,298
Ž,299
Ÿ,300
€,301
—,302
‚,303
—,304
“,305
‘,306
Ž,307
Š,308
˜,309
‡,310
Š,311
†,312
–,313
Ÿ,314
‰,315
”,316
…,317
ˆ,318
ž,319
‰,320
œ,321
€,322
—,323
‡,324
Š,325
š,326
Š,327
‹,328
–,329
„,330
ž,331
€,332
˜,333
›,334
•,335
™,336
”,337
Ž,338
„,339
”,340
š,341
‡,342
…,343
š,344
“,345
†,346
€,347
‰,348
•,349
œ,350
™,351
‰,352
”,353
•,354
‰,355
ž,356
ˆ,357
…,358
‚,359
–,360
‹,361
”,362
…,363
‰,364
ƒ,365
Ž,366
—,367
–,368
›,369
’,370
ž,371
‚,372
•,373
–,374
Œ,375
ž,376
™,377
ˆ,378
‘,379
ƒ,380
—,381
…,382
”,383
—,384
”,385
„,386
ž,387
–,388
œ,389
“,390
‹,391
ž,392
Š,393
‘,394
„,395
–,396
˜,397
‡,398
…,399
—,400
…,401
‚,402
„,403
–,404
€,405
‰,406
Ÿ,407
…,408
ƒ,409
€,410
˜,411
—,412
•,413
•,414
Š,415
™,416
ˆ,417
ƒ,418
ž,419
‘,420
ƒ,421
†,422
’,423
—,424
”,425
“,426
—,427
•,428
š,429
œ,430
›,431
’,432
™,433
‚,434
š,435
Œ,436
›,437
–,438
˜,439
‡,440
‹,441
›,442
—,443
‰,444
’,445
š,446
“,447
€,448
›,449
š,450
€,451
‹,452
•,453
‘,454
€,455
—,456
œ,457
‚,458
•,459
Š,460
‡,461
•,462
†,463
‘,464
Œ,465
†,466
ž,467
š,468
‹,469
˜,470
Ž,471
’,472
‡,473
†,474
–,475
‰,476
—,477
‰,478
‚,479
‡,480
Š,481
•,482
•,483
†,484
“,485
Ž,486
‘,487
•,488
‚,489
•,490
—,491
“,492
…,493
Ž,494
ˆ,495
š,496
Œ,497
ƒ,498
“,499
